time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.312243	0.58034	0	0	0	radar	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1157	0.487998	0.304947	6.50521e-18	-1.38778e-17	lidar	0	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.1157	0.487998	0.304947	6.50521e-18	-1.38778e-17	radar	0	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.45514	0.554364	1.67586	0.0554754	0.0107283	lidar	0	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.45514	0.554364	1.67586	0.0554754	0.0107283	radar	0	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.9876	0.609431	3.50935	0.197614	0.0516575	lidar	0	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	1.9876	0.609431	3.50935	0.197614	0.0516575	radar	0	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.51811	0.652434	4.64395	0.0726198	-0.0013649	lidar	0	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.51811	0.652434	4.64395	0.0726198	-0.0013649	radar	0	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.98037	0.64293	4.87046	0.0093155	0.0421166	lidar	0	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	2.98037	0.64293	4.87046	0.0093155	0.0421166	radar	0	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.72198	0.394967	6.06355	-0.266613	0.145798	lidar	0	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.72198	0.394967	6.06355	-0.266613	0.145798	radar	0	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30832	0.491591	5.93697	0.0175191	0.839933	lidar	0	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.30832	0.491591	5.93697	0.0175191	0.839933	radar	0	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.56463	0.799583	4.39103	0.377199	1.07206	lidar	0	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.56463	0.799583	4.39103	0.377199	1.07206	radar	0	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30137	0.749542	5.82639	0.111294	0.0545078	lidar	0	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.30137	0.749542	5.82639	0.111294	0.0545078	radar	0	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.96174	0.729431	6.22922	0.00543222	-0.246991	lidar	0	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	5.96174	0.729431	6.22922	0.00543222	-0.246991	radar	0	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.42996	0.893757	5.65232	0.160478	0.1898	lidar	0	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.42996	0.893757	5.65232	0.160478	0.1898	radar	0	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86903	0.807887	5.09097	0.0370408	-0.116996	lidar	0	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	6.86903	0.807887	5.09097	0.0370408	-0.116996	radar	0	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.23236	0.90862	4.51221	0.107684	0.0507489	lidar	0	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.23236	0.90862	4.51221	0.107684	0.0507489	radar	0	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.75262	0.821405	4.78661	-0.00647745	-0.176113	lidar	0	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	7.75262	0.821405	4.78661	-0.00647745	-0.176113	radar	0	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.23908	0.828677	4.8439	-0.012655	-0.155097	lidar	0	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.23908	0.828677	4.8439	-0.012655	-0.155097	radar	0	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.73467	0.945128	4.91822	0.0719472	0.0268605	lidar	0	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650
